Maia,311,1407,1656270,portugal,NãoRegistado,duplo,BB,2023-01-14,2023-01-18,2023-01-19,1,1,1,0,1,73.01,4,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,0,No,null
Evora,465,2408,1657154,estados unidos,Registado,suite,BAR,2023-01-15,2023-10-08,2023-10-09,1,2,2,0,2,140.0,266,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,No,null
Maia,311,1407,1659081,itália,NãoRegistado,duplo,MR - Main Rate,2023-01-18,2023-01-26,2023-01-27,1,2,2,0,2,63.7,8,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,0,No,null
Viseu,20,81,1659126,portugal,Registado,standart room,BAR,2023-01-18,2023-01-19,2023-01-20,1,1,1,0,1,49.0,1,2,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,1,No,null
Maia,311,1407,1660034,portugal,Registado,duplo,MR - Main Rate,2023-01-19,2023-01-19,2023-01-20,1,2,2,0,2,57.33,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,0,No,null
Maia,311,1407,1660191,canadá,Registado,duplo,BB,2023-01-19,2023-04-04,2023-04-05,1,1,1,0,1,74.529,75,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,0,No,null
Porto,560,2868,1662904,espanha,Registado,estudio,Standard,2023-01-24,2023-10-20,2023-10-22,2,2,2,0,2,210.0,269,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,4,No,null
Porto,358,1769,1667344,frança,Registado,suite,BAR,2023-01-29,2023-04-28,2023-05-01,3,2,2,0,2,930.0,89,2,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,4,No,null
São Martinho do Porto,414,2051,1670210,portugal,Cancelado,duplo,BAR,2023-02-02,2023-07-19,2023-07-22,3,2,2,0,2,375.0,167,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,0,No,null
Porto,179,632,1672860,espanha,Registado,king comfort,Tarifa Base,2023-02-06,2023-02-18,2023-02-22,4,2,2,0,2,429.984,12,2,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,132,4,No,null
São Martinho do Porto,414,2046,1673893,portugal,Modificada,vistas_panorâmicas,BAR,2023-02-08,2023-07-29,2023-07-30,1,2,2,0,2,115.0,171,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,0,No,null
Gaia,310,1424,1683133,portugal,Modificada,twin,BB,2023-02-22,2023-02-25,2023-02-26,1,2,2,0,2,63.5835,3,2,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,192,0,No,null
Nazaré,444,2074,1683703,estados unidos,Registado,duplo,RO,2023-02-23,2023-03-04,2023-03-05,1,2,2,0,2,90.0,9,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,77,0,No,null
Aveiro,321,1410,1684528,brasil,Cancelado,twin,BAR,2023-02-24,2023-02-24,2023-02-25,1,2,2,0,2,85.0,0,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,68,0,No,null
Cascais,443,2062,1685054,estados unidos,Registado,vistas_panorâmicas,RO,2023-02-25,2023-09-20,2023-09-24,4,2,2,0,2,1132.0,207,2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,42,1,No,null
Nazaré,444,2073,1687497,portugal,Registado,duplo,RO,2023-02-28,2023-03-24,2023-03-26,2,2,2,0,2,160.0,24,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,77,0,No,null
Gaia,310,1395,1688335,portugal,NãoRegistado,duplo,MR - Main Rate,2023-03-01,2023-03-01,2023-03-02,1,2,2,0,2,46.075,0,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,192,0,No,null
Covilhã,556,2833,1689690,portugal,Registado,triple room standard,Website,2023-03-03,2023-03-24,2023-03-26,2,2,2,1,2,215.75,21,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,84,0,No,null
Gaia,310,1395,1689928,portugal,Modificada,duplo,MR - Main Rate,2023-03-03,2023-03-11,2023-03-12,1,2,2,0,2,46.075,8,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,192,0,No,null
Aveiro,503,2784,1691968,brasil,Registado,individual,BAR,2023-03-06,2023-03-12,2023-03-13,1,1,1,0,1,38.0,6,1,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,187,0,No,null
